round,id,reliability,operational,OandM
1,a1,0.937,1,91.8
1,a2,0.942,1,87
1,a3,0.958,1,11.8
1,a4,0.944,1,2.4
1,a5,0.916,1,41.2
1,a6,0.894,1,14.6
1,a7,0.948,1,1.3
1,a8,0.945,1,1.3
2,a1,0.934,1,91.8
2,a2,0.939,1,87
2,a3,0.956,1,11.8
2,a4,0.941,1,2.4
2,a5,0.911,1,41.2
2,a6,0.887,1,14.6
2,a7,0.945,1,1.3
2,a8,0.942,1,1.3
3,a1,0.93,1,91.8
3,a2,0.936,1,87
3,a3,0.954,1,11.8
3,a4,0.938,0,2.4
3,a5,0.906,0,41.2
3,a6,0.88,0,14.6
3,a7,0.942,1,1.3
3,a8,0.939,1,1.3
3,Cirrus Wind,0.96,0,32.9
4,a1,0.927,1,92.1
4,a2,0.933,1,87.4
4,a3,0.952,1,11.8
4,a4,0.934,1,2.4
4,a5,0.9,1,42.8
4,a6,0.877,1,15.4
4,a7,0.939,1,1.3
4,a8,0.936,1,1.3
5,a1,0.927,1,92.3
5,a2,0.933,1,87.7
5,a3,0.952,0,11.8
5,a4,0.93,1,2.5
5,a5,0.894,1,43.4
5,a6,0.865,1,15.8
5,a7,0.936,1,1.3
5,a8,0.933,1,1.3
5,Cirrus Wind,0.96,1,32.7
5,Nimbus1,0.96,0,11.75
5,Nimbus2,0.96,0,11.75
5,peaker1,0.96,0,2.5
5,peaker2,0.96,0,2.5
5,peaker3,0.96,0,2.5
5,peaker4,0.96,0,2.5
5,peaker5,0.96,0,2.5
6,Nimbus1,0.96,1,11.75
6,Nimbus2,0.96,1,11.75
6,Cirrus Wind,0.958,1,32.7
6,a3,0.947,1,11.8
6,a4,0.925,1,2.5
6,a1,0.919,1,92.5
6,a5,0.887,1,44.2
6,a6,0.857,1,16.1
6,peaker1,0.96,1,2.5
6,peaker2,0.96,1,2.5
6,peaker3,0.96,1,2.5
6,peaker4,0.96,1,2.5
6,peaker5,0.96,1,2.5
6,a7,0.933,1,1.3
6,a8,0.929,1,1.3
7,Nimbus1,0.958,1,11.7
7,Nimbus2,0.958,1,11.7
7,Cirrus Wind,0.956,1,32.7
7,Cumulus1,0.96,0,9.3
