round,coalfp,gasfp,nuclearfp,windfp,windavail,demandgrowth,offpeakmax,shouldermax,onpeakmax
-5,30.75,0.28,1413.81,0,0.24,0.036,,,
-4,30.64,0.26,1411.33,0,0.39,0.032,,,
-3,30.26,0.23,1407.75,0,0.19,0.021,,,
-2,29.39,0.21,1383.78,0,0.39,0.027,,,
-1,29.91,0.2,1376.89,0,0.29,0.032,,,
0,35.67,0.17,1373.58,0,0.21,0.021,,,
1,38.44,0.16,1368.07,0,0.55,0.016,9000,11000,13000
2,40.22,0.15,1364.76,0,0.59,0.012,9144,11176,13208
3,42.66,0.15,1366.14,0,0.04,0.022,9253.728,11310.112,13366.496
4,71.88,0.17,1402.79,0,0.59,0.002,9461.16,11563.64,13666.12
5,81.17,0.2,1502,0,0.45,0.013,9477.05,11583.07,13689.08
6,78.02,0.22,1570.34,0,0.79,0.031,9604.8,11739.21,13873.61
7,75.09,0.25,1606.99,0,0.25,0.021,9905.24,12106.41,14307.57
8,77.15,0.23,1605.06,0,0.38,0.019,10115.23,12363.06,14610.89
9,85.91,0.34,1577.51,0,0.48,0.009,10310.15,12601.18,14892.3
10,118.37,0.54,1490.42,0,0.41,0.009,10406.45,12718.87,15031.39
11,183.79,0.81,1433.1,0,0.24,0.002,10500.10805,12833.33983,15166.67251
12,197.38,0.97,1413.54,0,0.53,-0.012,10515.57,12852.37,15189.16
13,167.54,0.72,1413.54,0,0.26,0.015,10392.96,12702.51,15012.05
14,183.73,0.67,1382.4,0,0.2,0.023,10552.91,12898,15243.09
15,143.49,0.48,1372.48,0,0.73,0.011,10794.68,13193.49,15592.31
16,154.69,0.2,1377.99,0,0.37,0.004,10914.06,13339.41,15764.76
17,133.44,0.16,1380.19,0,0.31,0.017,10952.59,13386.5,15820.41
18,98.37,0.16,1364.49,0,0.52,0.026,11139.11,13614.47,16089.83
19,112.2,0.15,1341.34,0,0.52,0.048,11424.83,13963.86,16502.54
20,52.3,0.14,1339.13,0,0.32,0.012,11972.88,14633.52,17294.16
21,50.62,0.13,1333.34,0,0.5,0.006,12115.48,14807.81,17500.14
22,39.71,0.15,1331.42,0,0.07,0.016,,,
